Tanggal,Beras,Beras Kualitas Super I
05/ 02/ 2024,15550,16350
06/ 02/ 2024,15550,16350
07/ 02/ 2024,15550,16350
08/ 02/ 2024,15550,16350
09/ 02/ 2024,15550,16350
12/ 02/ 2024,15800,16600
13/ 02/ 2024,15800,16600
14/ 02/ 2024,15800,16600
15/ 02/ 2024,15800,16600
16/ 02/ 2024,15800,16600
19/ 02/ 2024,15800,16600
20/ 02/ 2024,15800,16600
21/ 02/ 2024,15800,16600
22/ 02/ 2024,15700,16600
23/ 02/ 2024,15700,16600
26/ 02/ 2024,15700,16600
27/ 02/ 2024,15700,16600
28/ 02/ 2024,15700,16600
29/ 02/ 2024,15700,16600
01/ 03/ 2024,15700,16600
04/ 03/ 2024,15700,16600
05/ 03/ 2024,15700,16600
06/ 03/ 2024,15700,16600
07/ 03/ 2024,15800,16700
08/ 03/ 2024,15800,16700
11/ 03/ 2024,15800,16700
12/ 03/ 2024,15800,16700
13/ 03/ 2024,15500,16450
14/ 03/ 2024,15500,16450
15/ 03/ 2024,15600,16450
18/ 03/ 2024,15600,16450
19/ 03/ 2024,15600,16450
20/ 03/ 2024,15600,16450
21/ 03/ 2024,15600,16450
22/ 03/ 2024,15600,16450
25/ 03/ 2024,15600,16450
26/ 03/ 2024,15600,16450
27/ 03/ 2024,15600,16450
28/ 03/ 2024,15600,16450
29/ 03/ 2024,15600,16450
01/ 04/ 2024,15600,16450
02/ 04/ 2024,15600,16450
03/ 04/ 2024,15600,16450
04/ 04/ 2024,15600,16450
05/ 04/ 2024,15600,16450
08/ 04/ 2024,15600,16450
09/ 04/ 2024,15600,16450
10/ 04/ 2024,15600,16450
11/ 04/ 2024,15600,16450
12/ 04/ 2024,15600,16450
15/ 04/ 2024,15600,16450
16/ 04/ 2024,15600,16450
17/ 04/ 2024,15600,16450
18/ 04/ 2024,15600,16450
19/ 04/ 2024,15600,16450
22/ 04/ 2024,15400,16300
23/ 04/ 2024,15400,16300
24/ 04/ 2024,15300,16300
25/ 04/ 2024,15300,16300
26/ 04/ 2024,15300,16300
29/ 04/ 2024,15300,16300
30/ 04/ 2024,15300,16300
01/ 05/ 2024,15300,16300
02/ 05/ 2024,15300,16300
03/ 05/ 2024,15300,16300
06/ 05/ 2024,15200,16300
07/ 05/ 2024,15200,16300
08/ 05/ 2024,15200,16300
09/ 05/ 2024,15200,16300
10/ 05/ 2024,15200,16300
13/ 05/ 2024,15200,16300
14/ 05/ 2024,15200,16300
15/ 05/ 2024,15200,16300
16/ 05/ 2024,15200,16300
17/ 05/ 2024,15200,16300
20/ 05/ 2024,15200,16300
21/ 05/ 2024,15200,16300
22/ 05/ 2024,15200,16300
23/ 05/ 2024,15200,16300
24/ 05/ 2024,15200,16300
27/ 05/ 2024,15200,16300
28/ 05/ 2024,15200,16300
29/ 05/ 2024,15200,16300
30/ 05/ 2024,15200,16300
31/ 05/ 2024,15200,16300
03/ 06/ 2024,15200,16300
04/ 06/ 2024,15200,16300
05/ 06/ 2024,15200,16300
06/ 06/ 2024,15200,16300
07/ 06/ 2024,15200,16300
10/ 06/ 2024,15200,16300
11/ 06/ 2024,15200,16300
12/ 06/ 2024,15200,16300
13/ 06/ 2024,15200,16300
14/ 06/ 2024,15200,16300
17/ 06/ 2024,15200,16300
18/ 06/ 2024,15200,16300
19/ 06/ 2024,15300,16300
20/ 06/ 2024,15300,16300
21/ 06/ 2024,15300,16300
24/ 06/ 2024,15300,16300
25/ 06/ 2024,15300,16300
26/ 06/ 2024,15300,16300
27/ 06/ 2024,15300,16300
28/ 06/ 2024,15300,16300
01/ 07/ 2024,15300,16300
02/ 07/ 2024,15300,16300
03/ 07/ 2024,15300,16300
04/ 07/ 2024,15300,16300
