Tanggal,Beras,Beras Kualitas Super I
05/ 02/ 2024,"15,550","16,350"
06/ 02/ 2024,"15,550","16,350"
07/ 02/ 2024,"15,550","16,350"
08/ 02/ 2024,"15,550","16,350"
09/ 02/ 2024,"15,550","16,350"
12/ 02/ 2024,"15,800","16,600"
13/ 02/ 2024,"15,800","16,600"
14/ 02/ 2024,"15,800","16,600"
15/ 02/ 2024,"15,800","16,600"
16/ 02/ 2024,"15,800","16,600"
19/ 02/ 2024,"15,800","16,600"
20/ 02/ 2024,"15,800","16,600"
21/ 02/ 2024,"15,800","16,600"
22/ 02/ 2024,"15,700","16,600"
23/ 02/ 2024,"15,700","16,600"
26/ 02/ 2024,"15,700","16,600"
27/ 02/ 2024,"15,700","16,600"
28/ 02/ 2024,"15,700","16,600"
29/ 02/ 2024,"15,700","16,600"
01/ 03/ 2024,"15,700","16,600"
04/ 03/ 2024,"15,700","16,600"
05/ 03/ 2024,"15,700","16,600"
06/ 03/ 2024,"15,700","16,600"
07/ 03/ 2024,"15,800","16,700"
08/ 03/ 2024,"15,800","16,700"
11/ 03/ 2024,"15,800","16,700"
12/ 03/ 2024,"15,800","16,700"
13/ 03/ 2024,"15,500","16,450"
14/ 03/ 2024,"15,500","16,450"
15/ 03/ 2024,"15,600","16,450"
18/ 03/ 2024,"15,600","16,450"
19/ 03/ 2024,"15,600","16,450"
20/ 03/ 2024,"15,600","16,450"
21/ 03/ 2024,"15,600","16,450"
22/ 03/ 2024,"15,600","16,450"
25/ 03/ 2024,"15,600","16,450"
26/ 03/ 2024,"15,600","16,450"
27/ 03/ 2024,"15,600","16,450"
28/ 03/ 2024,"15,600","16,450"
29/ 03/ 2024,"15,600","16,450"
01/ 04/ 2024,"15,600","16,450"
02/ 04/ 2024,"15,600","16,450"
03/ 04/ 2024,"15,600","16,450"
04/ 04/ 2024,"15,600","16,450"
05/ 04/ 2024,"15,600","16,450"
08/ 04/ 2024,"15,600","16,450"
09/ 04/ 2024,"15,600","16,450"
10/ 04/ 2024,"15,600","16,450"
11/ 04/ 2024,"15,600","16,450"
12/ 04/ 2024,"15,600","16,450"
15/ 04/ 2024,"15,600","16,450"
16/ 04/ 2024,"15,600","16,450"
17/ 04/ 2024,"15,600","16,450"
18/ 04/ 2024,"15,600","16,450"
19/ 04/ 2024,"15,600","16,450"
22/ 04/ 2024,"15,400","16,300"
23/ 04/ 2024,"15,400","16,300"
24/ 04/ 2024,"15,300","16,300"
25/ 04/ 2024,"15,300","16,300"
26/ 04/ 2024,"15,300","16,300"
29/ 04/ 2024,"15,300","16,300"
30/ 04/ 2024,"15,300","16,300"
01/ 05/ 2024,"15,300","16,300"
02/ 05/ 2024,"15,300","16,300"
03/ 05/ 2024,"15,300","16,300"
06/ 05/ 2024,"15,200","16,300"
07/ 05/ 2024,"15,200","16,300"
08/ 05/ 2024,"15,200","16,300"
09/ 05/ 2024,"15,200","16,300"
10/ 05/ 2024,"15,200","16,300"
13/ 05/ 2024,"15,200","16,300"
14/ 05/ 2024,"15,200","16,300"
15/ 05/ 2024,"15,200","16,300"
16/ 05/ 2024,"15,200","16,300"
17/ 05/ 2024,"15,200","16,300"
20/ 05/ 2024,"15,200","16,300"
21/ 05/ 2024,"15,200","16,300"
22/ 05/ 2024,"15,200","16,300"
23/ 05/ 2024,"15,200","16,300"
24/ 05/ 2024,"15,200","16,300"
27/ 05/ 2024,"15,200","16,300"
28/ 05/ 2024,"15,200","16,300"
29/ 05/ 2024,"15,200","16,300"
30/ 05/ 2024,"15,200","16,300"
31/ 05/ 2024,"15,200","16,300"
03/ 06/ 2024,"15,200","16,300"
04/ 06/ 2024,"15,200","16,300"
05/ 06/ 2024,"15,200","16,300"
06/ 06/ 2024,"15,200","16,300"
07/ 06/ 2024,"15,200","16,300"
10/ 06/ 2024,"15,200","16,300"
11/ 06/ 2024,"15,200","16,300"
12/ 06/ 2024,"15,200","16,300"
13/ 06/ 2024,"15,200","16,300"
14/ 06/ 2024,"15,200","16,300"
17/ 06/ 2024,"15,200","16,300"
18/ 06/ 2024,"15,200","16,300"
19/ 06/ 2024,"15,300","16,300"
20/ 06/ 2024,"15,300","16,300"
21/ 06/ 2024,"15,300","16,300"
24/ 06/ 2024,"15,300","16,300"
25/ 06/ 2024,"15,300","16,300"
26/ 06/ 2024,"15,300","16,300"
27/ 06/ 2024,"15,300","16,300"
28/ 06/ 2024,"15,300","16,300"
01/ 07/ 2024,"15,300","16,300"
02/ 07/ 2024,"15,300","16,300"
03/ 07/ 2024,"15,300","16,300"
04/ 07/ 2024,"14,900","16,050"
